park_name,fountain_number,location_description,status,
HALE (NATHAN),Hale (Nathan) #1,ON POOL DECK,Passed testing - returned to normal push-button operation,
HALE (NATHAN),Hale (Nathan) #2,"SOUTH OF TENNIS COURTS, ON MULLIGAN",Continuous flow - To be assessed for repair/replacement/removal,
HALE (NATHAN),Hale (Nathan) #3,"SOUTH OF FIELDHOUSE, ON PATH",Passed testing - returned to normal push-button operation,
HALE (NATHAN),Hale (Nathan) #4,"SOUTH SIDE OF PARK, BETWEEN SOUTH DIAMONDS",Passed testing - returned to normal push-button operation,
HAMILTON (ALEXANDER),Hamilton (Alexander) #1,"WEST SIDE OF FIELDHOUSE, ON PATH",Passed testing - returned to normal push-button operation,
HAMILTON (ALEXANDER),Hamilton (Alexander) #2,SOUTH SIDE OF PLAYGROUND,Passed testing - returned to normal push-button operation,
HAMILTON (ALEXANDER),Hamilton (Alexander) #3,POOL DECK,Passed testing - returned to normal push-button operation,
HAMILTON (ALEXANDER),Hamilton (Alexander) #4,"SOUTHEAST CORNER, ON CENTRAL WALKING PATH",Inactive. Broken service,
HAMLIN (HANNIBAL),Hamlin (Hannibal) #1,PLAYGROUND,Continuous flow - To be assessed for repair/replacement/removal,
HAMLIN (HANNIBAL),Hamlin (Hannibal) #2,POOL DECK,In flushing protocol - 2017 EPA Test pending,
HAMLIN (HANNIBAL),Hamlin (Hannibal) #3,BASKETBALL COURT,Passed testing - returned to normal push-button operation,
HAMLIN (HANNIBAL),Hamlin (Hannibal) #4,AT DAMEN AND NELSON,In flushing protocol - 2017 EPA Test pending,
HANSBERRY (LORRAINE),Hansberry (Lorraine) #1,AT ENTRANCE ON INDIANA,Passed testing - returned to normal push-button operation,
HARDING (FREDERICK),Harding (Frederick) #1,NEAR PLAYGROUND BY HARDING ENTRANCE,Passed testing - returned to normal push-button operation,
HARDING (GEORGE),Harding (George) #1,"CENTER OF PARK, BETWEEN PLAYGROUND AND COURTS",Passed testing - returned to normal push-button operation,
HARRIS (RYAN) MEMORIAL,Harris (Ryan) Memorial #1,AT PLAYGROUND,Passed testing - returned to normal push-button operation,
HARRISON (CARTER),Harrison (Carter) #1,NORTHWEST OF COMFORT STATION AT WOLCOTT,Passed testing - returned to normal push-button operation,
HARRISON (CARTER),Harrison (Carter) #2,ENTRANCE TO PLAYLOT,Passed testing - returned to normal push-button operation,
HARRISON (CARTER),Harrison (Carter) #3,60' EAST OF DAMEN ON 19TH,Passed testing - returned to normal push-button operation,
HARSH (VIVIAN G.),Harsh (Vivian G.) #1,"PARK ENTRANCE, IN FRONT OF PLAYGROUND",Passed testing - returned to normal push-button operation,
HARTIGAN (DAVID) BEACH,Hartigan (David) Beach #1,"SOUTH OF ALBION, NORTHEAST OF PLAYGROUND",Passed testing - returned to normal push-button operation,
HARTIGAN (DAVID) BEACH,Hartigan (David) Beach #2,"NORTH OF ALBION, ON PATH",Passed testing - returned to normal push-button operation,
HAYES (FRANCIS),Hayes (Francis) #1,PLAYGROUND,Inactive. Broken service,
HAYES (FRANCIS),Hayes (Francis) #2,"WEST SIDE, AT 84TH STREET, ON PATH",Passed testing - returned to normal push-button operation,
HAYES (FRANCIS),Hayes (Francis) #3,"EAST SIDE, AT 84TH STREET, ON PATH",Passed testing - returned to normal push-button operation,
HAZELNUT,Hazelnut #1,EAST OF PLAYGROUND ENTRANCE,Passed testing - returned to normal push-button operation,
HERMITAGE,Hermitage #1,IN PLAYGROUND,Passed testing - returned to normal push-button operation,
HERMOSA,Hermosa #1,SPRAY POOL,Passed testing - returned to normal push-button operation,
HERMOSA,Hermosa #2,TENNIS COURT,Passed testing - returned to normal push-button operation,
HIAWATHA,Hiawatha #1,NEAR TENNIS COURT,Passed testing - returned to normal push-button operation,
HIAWATHA,Hiawatha #2,"ON ORANGE, ON SIDEWALK",In flushing protocol - 2017 EPA Test pending,
HIAWATHA,Hiawatha #3,PLAYGROUND,Passed testing - returned to normal push-button operation,
HIAWATHA,Hiawatha #4,ON PATH NORTH OF CORNELIA,Passed testing - returned to normal push-button operation,
HICKORY,Hickory #1,AT ENTRANCE ON WINTHROP,Passed testing - returned to normal push-button operation,
HOARD (EDISON),Hoard (Edison) #1,NORTHEAST OF PLAYGROUND,Passed testing - returned to normal push-button operation,
HOLLY,Holly #1,INSIDE ENTRANCE ON ELLIS,Continuous flow - To be assessed for repair/replacement/removal,
HOLLYWOOD,Hollywood #1,EAST OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
HOLLYWOOD,Hollywood #2,BY PLAYLOT,Continuous flow - To be assessed for repair/replacement/removal,
HOLSTEIN,Holstein #1,PLAYGROUND,Passed testing - returned to normal push-button operation,
HOLSTEIN,Holstein #2,POOL DECK NEAR WOMEN'S LOCKER ROOM,Passed testing - returned to normal push-button operation,
HOLSTEIN,Holstein #3,"SOUTHWEST SIDE OF PARK, ON WEST OAKLEY",Continuous flow - To be assessed for repair/replacement/removal,
HONEYSUCKLE,Honeysuckle #1,NEAR NORTHWEST ENTRANCE OF PARK,Passed testing - returned to normal push-button operation,
HORAN (ALBERT),Horan (Albert) #1,BETWEEN PLAYGROUND AND FIELD HOUSE,Passed testing - returned to normal push-button operation,
HORNBEAM,Hornbeam #1,NEAR ENTRANCE,Passed testing - returned to normal push-button operation,
HORNER (HENRY),Horner (Henry) #1,CORNER OF MONTROSE AND CALIFORNIA,Continuous flow - To be assessed for repair/replacement/removal,
HORNER (HENRY),Horner (Henry) #2,SOUTH OF TENNIS COURTS,Passed testing - returned to normal push-button operation,
HORNER (HENRY),Horner (Henry) #3,SOUTH OF BASKETBALL COURT,Passed testing - returned to normal push-button operation,
HORNER (HENRY),Horner (Henry) #4,SOUTH OF PLAYLOT,Passed testing - returned to normal push-button operation,
HORNER (HENRY),Horner (Henry) #5,"EAST OF CULLOM TENNIS COURTS, ON PATH",Continuous flow - To be assessed for repair/replacement/removal,
HORNER (HENRY),Horner (Henry) #6,"EAST OF JUNIOR DIAMOND #3, ON PATH",Continuous flow - To be assessed for repair/replacement/removal,
HORNER (HENRY),Horner (Henry) #7,"WEST SIDE OF PARK, AT BERTEAU, ON PATH",Passed testing - returned to normal push-button operation,
HORNER (HENRY),Horner (Henry) #8,SOUTHEAST OF JUNIOR DIAMOND #6,Continuous flow - To be assessed for repair/replacement/removal,
HORNER (HENRY),Horner (Henry) #9,"WEST SIDE OF PARK, AT BELLE PLAINE, ON PATH",Passed testing - returned to normal push-button operation,
HORNER (HENRY),Horner (Henry) #10,"SOUTHEAST CORNER OF PARK, BEHIND JUNIOR DIAMOND #9",Off. To be assessed for repair/replacement/removal,
HORNER (HENRY),Horner (Henry) #11,CORNER OF IRVING AND CALIFORNIA,Continuous flow - To be assessed for repair/replacement/removal,
"HOUSTON (JESSIE ""MA"")","Houston (Jessie ""Ma"") #1","NORTH OF BASKETBALL COURT, MIDDLE OF PARK",Passed testing - returned to normal push-button operation,
"HOUSTON (JESSIE ""MA"")","Houston (Jessie ""Ma"") #2",WEST OF DREXEL WALKING PATH ENTRANCE,Passed testing - returned to normal push-button operation,
HOYNE (THOMAS),Hoyne (Thomas) #1,EAST SIDE OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
HUCKLEBERRY,Huckleberry #1,INSIDE ENTRANCE ON KIMBARK,Passed testing - returned to normal push-button operation,
HUMBERT (JAMES),Humbert (James) #1,"SOUTH OF WEST ENTRANCE, INSIDE PLAYLOT",Passed testing - returned to normal push-button operation,
HUMBOLDT (ALEXANDER VON),Humboldt (Alexander Von) #1,"ON PATH AT NORTH & CALIFORNIA, NORTH OF THE INNER DRIVE",Continuous flow - To be assessed for repair/replacement/removal,
HUMBOLDT (ALEXANDER VON),Humboldt (Alexander Von) #2,"ON PATH SOUTH OF NORTH, WEST OF HUMBOLDT",Passed testing - returned to normal push-button operation,
HUMBOLDT (ALEXANDER VON),Humboldt (Alexander Von) #3,ON PATH AT THE INNER DRIVE ACROSS FROM THE ARMORY,Continuous flow - To be assessed for repair/replacement/removal,
HUMBOLDT (ALEXANDER VON),Humboldt (Alexander Von) #5,IN PLAYGROUND (NORTH),Passed testing - returned to normal push-button operation,
HUMBOLDT (ALEXANDER VON),Humboldt (Alexander Von) #6,IN FRONT OF FIELDHOUSE PARKING LOT,Continuous flow - To be assessed for repair/replacement/removal,
HUMBOLDT (ALEXANDER VON),Humboldt (Alexander Von) #7,ON PATH BY CASTING PIER,Passed testing - returned to normal push-button operation,
HUMBOLDT (ALEXANDER VON),Humboldt (Alexander Von) #8,IN FRONT OF COMFORT STATION AT LITTLE CUBS FIELD,Passed testing - returned to normal push-button operation,
HUMBOLDT (ALEXANDER VON),Humboldt (Alexander Von) #9,WEST SIDE OF BOATHOUSE,Passed testing - returned to normal push-button operation,
HUMBOLDT (ALEXANDER VON),Humboldt (Alexander Von) #10,ON CALIFORNIA SIDE OF TENNIS COURTS,Passed testing - returned to normal push-button operation,
HUMBOLDT (ALEXANDER VON),Humboldt (Alexander Von) #11,IN EAST PLAYGROUND,Passed testing - returned to normal push-button operation,
HUMBOLDT (ALEXANDER VON),Humboldt (Alexander Von) #12,EAST SIDE OF BOATHOUSE,Passed testing - returned to normal push-button operation,
HUMBOLDT (ALEXANDER VON),Humboldt (Alexander Von) #13,EAST OF INNER DRIVE IN BETWEEN LITTLE CUBS FIELD AND MINI SOCCER FIELD,Passed testing - returned to normal push-button operation,
HUMBOLDT (ALEXANDER VON),Humboldt (Alexander Von) #15,FORMAL GARDEN NORTHWEST,Passed testing - returned to normal push-button operation,
HUMBOLDT (ALEXANDER VON),Humboldt (Alexander Von) #16,FORMAL GARDEN SOUTHWEST,Passed testing - returned to normal push-button operation,
HUMBOLDT (ALEXANDER VON),Humboldt (Alexander Von) #17,INNER DRIVE NEAR CALIFORNIA AND CRYSTAL,Passed testing - returned to normal push-button operation,
HUMBOLDT (ALEXANDER VON),Humboldt (Alexander Von) #18,IN PLAYGROUND NEAR DIVISION AND KEDZIE,Passed testing - returned to normal push-button operation,
HUMBOLDT (ALEXANDER VON),Humboldt (Alexander Von) #20,ON INNER DRIVE WEST OF DIAMOND 14,Passed testing - returned to normal push-button operation,
HUMBOLDT (ALEXANDER VON),Humboldt (Alexander Von) #21,ON HUMBOLDT EAST OF TURF FIELD,Continuous flow - To be assessed for repair/replacement/removal,
HUMBOLDT (ALEXANDER VON),Humboldt (Alexander Von) #22,ON POOL DECK,Continuous flow - To be assessed for repair/replacement/removal,
HUMBOLDT (ALEXANDER VON),Humboldt (Alexander Von) #23,SOUTHWEST OF SPRAY POOL,Passed testing - returned to normal push-button operation,
HURLEY (TIMOTHY),Hurley (Timothy) #1,NORTH OF PLAYGROUND,Passed testing - returned to normal push-button operation,
INDEPENDENCE,Independence #1,"ON PATH, NORTH DIAMOND, BEHIND HOME PLATE",Passed testing - returned to normal push-button operation,
INDEPENDENCE,Independence #2,"NORTHEAST CORNER OF FIELDHOUSE, ON PATH",Passed testing - returned to normal push-button operation,
INDEPENDENCE,Independence #3,"NORTH OF PLAYGROUND, SOUTH OF INDEPENDENCE PARK LANDSCAPING",Passed testing - returned to normal push-button operation,
INDIAN BOUNDARY,Indian Boundary #1,NORTH OF SPRAYPOOL,In flushing protocol - 2017 EPA Test pending,
INDIAN BOUNDARY,Indian Boundary #2,EAST OF TENNIS COURTS,In flushing protocol - 2017 EPA Test pending,
INDIAN BOUNDARY,Indian Boundary #3,WEST OF FIELDHOUSE ON PATH,Passed testing - returned to normal push-button operation,
INDIAN ROAD,Indian Road #1,"AT SIDEWALK, ON MCVICKER",Passed testing - returned to normal push-button operation,
INDIAN ROAD,Indian Road #2,NEAR BASEBALL DIAMOND,Continuous flow - To be assessed for repair/replacement/removal,
INDIAN ROAD,Indian Road #3,ON PATH NEAR PLAYGROUND,Passed testing - returned to normal push-button operation,
JACKSON (ANDREW),Jackson (Andrew) #1,"WEST ENTRANCE, 57TH UNDERPASS",Passed testing - returned to normal push-button operation,
JACKSON (ANDREW),Jackson (Andrew) #2,"EAST ENTRANCE, 57TH UNDERPASS",Passed testing - returned to normal push-button operation,
JACKSON (ANDREW),Jackson (Andrew) #3,57TH STREET BEACHHOUSE-HIGH,Passed testing - returned to normal push-button operation,
JACKSON (ANDREW),Jackson (Andrew) #4,57TH STREET BEACHHOUSE-LOW,Passed testing - returned to normal push-button operation,
JACKSON (ANDREW),Jackson (Andrew) #5,WEST SIDE OF CORNELL AT 57TH,Passed testing - returned to normal push-button operation,
JACKSON (ANDREW),Jackson (Andrew) #6,WEST SIDE OF CORNELL AT 58TH,Continuous flow - To be assessed for repair/replacement/removal,
JACKSON (ANDREW),Jackson (Andrew) #7,SOUTHWEST OF MUSIC COURT COMFORT STATION,Passed testing - returned to normal push-button operation,
JACKSON (ANDREW),Jackson (Andrew) #8,WEST SIDE OF 59TH UNDERPASS,Passed testing - returned to normal push-button operation,
JACKSON (ANDREW),Jackson (Andrew) #9,WEST SIDE FO CORNELL AT MIDWAY PLAISANCE,Passed testing - returned to normal push-button operation,
JACKSON (ANDREW),Jackson (Andrew) #10,NORTH SIDE OF TENNIS COURTS,Passed testing - returned to normal push-button operation,
JACKSON (ANDREW),Jackson (Andrew) #11,WEST SIDE OF CORNELL- NORTH OF RUNNING TRACK,Passed testing - returned to normal push-button operation,
JACKSON (ANDREW),Jackson (Andrew) #12,WEST OF 62ND AND CORNELL COMFORT STATION,Passed testing - returned to normal push-button operation,
JACKSON (ANDREW),Jackson (Andrew) #13,150' SOUTH OF DRIVING RANGE,Continuous flow - To be assessed for repair/replacement/removal,
JACKSON (ANDREW),Jackson (Andrew) #14,"WEST SIDE OF CORNELL, SOUTH OF 62ND COMFORT STATION",Passed testing - returned to normal push-button operation,
JACKSON (ANDREW),Jackson (Andrew) #15,"NORTH SIDE OF HAYES, EAST OF CORNELL",Passed testing - returned to normal push-button operation,
JACKSON (ANDREW),Jackson (Andrew) #16,"NORTH OF HAYES, EAST OF BASKETBALL COURT",Passed testing - returned to normal push-button operation,
JACKSON (ANDREW),Jackson (Andrew) #17,SOUTHWEST OF 63RD BEACH HOUSE ENTRANCE,Passed testing - returned to normal push-button operation,
JACKSON (ANDREW),Jackson (Andrew) #18,NORTHWEST WALL OF BEACH HOUSE,Removed from service,
JACKSON (ANDREW),Jackson (Andrew) #19,SOUTHEAST WALL OF BEACH HOUSE,Removed from service,
JACKSON (ANDREW),Jackson (Andrew) #20,BEACH HOUSE WEST BATHROOMS,Passed testing - returned to normal push-button operation,
JACKSON (ANDREW),Jackson (Andrew) #21,BEACH HOUSE EAST BATHROOMS,Passed testing - returned to normal push-button operation,
JACKSON (ANDREW),Jackson (Andrew) #22,PLAYGROUND AT FIELDHOUSE,Passed testing - returned to normal push-button operation,
JACKSON (ANDREW),Jackson (Andrew) #23,WEST OF RICHARDS AT MARQUETTE,Passed testing - returned to normal push-button operation,
JACKSON (ANDREW),Jackson (Andrew) #24,"NORTH OF MARQUETTE, BETWEEN CORNELL AND RICHARDS",Passed testing - returned to normal push-button operation,
JACKSON (ANDREW),Jackson (Andrew) #25,PATH AT ENTRANCE TO LA RABIDA HOSPITAL,Passed testing - returned to normal push-button operation,
JACKSON (ANDREW),Jackson (Andrew) #26,"ON BEACHWALL, SOUTH OF LA RABIDA",In flushing protocol - 2017 EPA Test pending,
JACKSON (ANDREW),Jackson (Andrew) #27,SOUTH SHORE AND 67TH ON BEACH WALL,Passed testing - returned to normal push-button operation,
JACKSON (MAHALIA),Jackson (Mahalia) #1,ON BIRKHOFF BETWEEN BASEBALL DIAMONDS,Passed testing - returned to normal push-button operation,
JACKSON (MAHALIA),Jackson (Mahalia) #2,ON BIRKHOFF AT BASKETBALL COURTS,Inactive. Broken service,
JACKSON (ROBERT),Jackson (Robert) #1,NEAR ENTRANCE ON INDIANA,Continuous flow - To be assessed for repair/replacement/removal,
JACOB,Jacob #1,SOUTH OF ENTRANCE,Passed testing - returned to normal push-button operation,
JACOLIK (FLORIAN S.),Jacolik (Florian S.) #1,"INSIDE PLAYLOT, NORTH ENTRANCE ON ELENOR",Passed testing - returned to normal push-button operation,
JEFFERSON (NANCY),Jefferson (Nancy) #1,"ON ALBANY, NEAR ACTIVITY COURT",Continuous flow - To be assessed for repair/replacement/removal,
JEFFERSON (THOMAS),Jefferson (Thomas) #1,OUTSIDE NORTHWEST CORNER OF PLAYGROUND,Passed testing - returned to normal push-button operation,
JEFFERSON (THOMAS) MEML.,Jefferson (Thomas) Meml. #1,ON PATH BY SERVICE YARD,Passed testing - returned to normal push-button operation,
JEFFERSON (THOMAS) MEML.,Jefferson (Thomas) Meml. #2,POOL DECK,Passed testing - returned to normal push-button operation,
JEFFERSON (THOMAS) MEML.,Jefferson (Thomas) Meml. #3,IN PLAYGROUND,Passed testing - returned to normal push-button operation,
JENSEN (CHRIST),Jensen (Christ) #1,SOUTH OF PLAYGROUND,Passed testing - returned to normal push-button operation,
JENSEN (CHRIST),Jensen (Christ) #2,ENTRANCE AT LAWLDALE AND EASTWOOD,Passed testing - returned to normal push-button operation,
JONES (MARY RICHARDSON),Jones (Mary Richardson) #1,NORTH OF PLAYGROUND,Passed testing - returned to normal push-button operation,
JONQUIL,Jonquil #1,ON WRIGHTWOOD,Off. To be assessed for repair/replacement/removal,
JONQUIL,Jonquil #2,PLAYGROUND,Passed testing - returned to normal push-button operation,
JONQUIL,Jonquil #3,HOME PLATE OF BASEBALL DIAMOND,In flushing protocol - 2017 EPA Test pending,
JUNCTION GROVE,Junction Grove #1,AT ENTRANCE ON 64TH,Continuous flow - To be assessed for repair/replacement/removal,
JUNEWAY BEACH,Juneway Beach #1,AT SHERIDAN AND EASTLAKE,Continuous flow - To be assessed for repair/replacement/removal,
JUNIPER,Juniper #1,AT ENTRANCE ON GREENVIEW,Passed testing - returned to normal push-button operation,
KEDVALE,Kedvale #1,BETWEEN BASKETBALL COURT AND PLAYGROUND,Passed testing - returned to normal push-button operation,
KELLS (GEORGE),Kells (George) #1,NE CORNER OF PARK,In flushing protocol - 2017 EPA Test pending,
KELLY (EDWARD),Kelly (Edward) #1,"NEAR 41ST ENTRANCE, NEXT TO FIELD HOUSE",Passed testing - returned to normal push-button operation,
KELLY (EDWARD),Kelly (Edward) #2,"NORTHWEST CORNER OF PARK, ON CALIFORNIA",Passed testing - returned to normal push-button operation,
KELLY (EDWARD),Kelly (Edward) #3,South side of park at Fairfield entrance,In flushing protocol - 2017 EPA Test pending,
KELVYN (WILLIAM),Kelvyn (William) #1,SOUTH OF JUNIOR SOCCER FIELD,Passed testing - returned to normal push-button operation,
KELVYN (WILLIAM),Kelvyn (William) #2,"NEAR SPRAYPOOL, ON PATH",Passed testing - returned to normal push-button operation,
KELVYN (WILLIAM),Kelvyn (William) #3,"AT WRIGHTWOOD AND KILBOURN, ON PATH",Passed testing - returned to normal push-button operation,
KELVYN (WILLIAM),Kelvyn (William) #4,"AT WRIGHTWOOD AND KOSTNER, ON PATH",Continuous flow - To be assessed for repair/replacement/removal,
KENNEDY (DENNIS),Kennedy (Dennis) #1,"NORTHEAST CORNER OF PARK, BY VET MEMORIAL",Passed testing - returned to normal push-button operation,
KENNEDY (DENNIS),Kennedy (Dennis) #2,"NORTH SIDE OF PARK, WEST OF CAMPBELL, ON PATH",Passed testing - returned to normal push-button operation,
KENNEDY (DENNIS),Kennedy (Dennis) #3,PLAYGROUND,Passed testing - returned to normal push-button operation,
KENNEDY (DENNIS),Kennedy (Dennis) #4,"BETWEEN TWO EAST DIAMONDS, ON PATH",Passed testing - returned to normal push-button operation,
KENNEDY (DENNIS),Kennedy (Dennis) #5,"WEST SIDE OF PARK, BETWEEN BASEBALL DIAMONDS",Passed testing - returned to normal push-button operation,
KENNEDY (DENNIS),Kennedy (Dennis) #6,ON POOL DECK,Continuous flow - To be assessed for repair/replacement/removal,
KENNEDY (DENNIS),Kennedy (Dennis) #7,"ON DRIVEWAY, SOUTHEAST CORNER OF FIELDHOUSE, BY COURTS",Passed testing - returned to normal push-button operation,
KENNEDY (DENNIS),Kennedy (Dennis) #8,"SOUTH SIDE OF PARK, WEST OF CAMPBELL, ON PATH",Passed testing - returned to normal push-button operation,
KENSINGTON,Kensington #1,EAST SIDE OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
KEN-WELL,Ken-Well #1,EAST OF FIELD HOUSE,Continuous flow - To be assessed for repair/replacement/removal,
KENWOOD COMM.,Kenwood Comm. #1,"NORTHWEST CORNER OF PARK, AT PLAYGROUND ENTRANCE",Continuous flow - To be assessed for repair/replacement/removal,
KENWOOD COMM.,Kenwood Comm. #2,ATTACHED TO NORTH SIDE OF FIELD HOUSE,Passed testing - returned to normal push-button operation,
KENWOOD COMM.,Kenwood Comm. #3,"ON JOG PATH NORTH-CENTER OF PARK, ACROSS FROM SPRAY POOL",Passed testing - returned to normal push-button operation,
KENWOOD COMM.,Kenwood Comm. #4,"SOUTHEAST CORNER OF PARK, NEAR COMMUNITY GARDEN ENTRANCE",Passed testing - returned to normal push-button operation,
KILBOURN,Kilbourn #1,"NORTH END OF PARK, NEXT TO CONCESSION",Passed testing - returned to normal push-button operation,
KILBOURN,Kilbourn #2,AT KILBOURN AND CORNELIA,Passed testing - returned to normal push-button operation,
KILBOURN,Kilbourn #3,NEXT TO PLAYGROUND,Continuous flow - To be assessed for repair/replacement/removal,
KILBOURN,Kilbourn #4,AT ROSCOE AND KENNETH,Passed testing - returned to normal push-button operation,
"KING (MARTIN LUTHER, JR.)","King (Martin Luther, Jr.) #1",EAST OF PLAYGROUND ON PATH,Passed testing - returned to normal push-button operation,
"KING-LOCKHART (PATRICK, ANTHONY)","King-Lockhart (Patrick, Anthony) #1",AT ENTRANCE ON WESTERN,Passed testing - returned to normal push-button operation,
KLEIN (LOIS),Klein (Lois) #1,AT ENTRANCE ON LINCOLN,Passed testing - returned to normal push-button operation,
KOLMAR,Kolmar #1,ON KOLMAR,Passed testing - returned to normal push-button operation,
KORCZAK (JANUSZ),Korczak (Janusz) #1,AT CLAREMONT ENTRANCE,Continuous flow - To be assessed for repair/replacement/removal,
KOSCIUSZKO (THADEUZ),Kosciuszko (Thadeuz) #1,BEHIND NORTHEAST BASEBALL DIAMOND,Continuous flow - To be assessed for repair/replacement/removal,
KOSCIUSZKO (THADEUZ),Kosciuszko (Thadeuz) #2,WEST SIDE OF PARK,Passed testing - returned to normal push-button operation,
KOSCIUSZKO (THADEUZ),Kosciuszko (Thadeuz) #3,NEAR PLAYGROUND,Passed testing - returned to normal push-button operation,
KRAUSE (FRANCIS VERNON),Krause (Francis Vernon) #1,AT ENTRANCE ON 106TH,Passed testing - returned to normal push-button operation,
"KUCINSKI-MURPHY (VICKI, ROSEBETH)","Kucinski-Murphy (Vicki, Rosebeth) #1",NORTH ENTRANCE OF PARK ON 33RD,Passed testing - returned to normal push-button operation,
LA FOLLETTE (ROBERT),La Follette (Robert) #1,"PLAYLOT SOUTH OF HIRSCH, EAST OF LARAMIE",Continuous flow - Vandalized,
LA FOLLETTE (ROBERT),La Follette (Robert) #2,"NORTH OF COMFORT STATION, WEST OF LAVERGNE",Passed testing - returned to normal push-button operation,
LA FOLLETTE (ROBERT),La Follette (Robert) #3,"SOUTH OF FIELDHOUSE, EAST OF LARAMIE",Passed testing - returned to normal push-button operation,
LA FOLLETTE (ROBERT),La Follette (Robert) #4,"NORTH OF PATOMAC, SOUTH OF FOOTBALL FIELD ON PATH",Passed testing - returned to normal push-button operation,
LA FOLLETTE (ROBERT),La Follette (Robert) #5,POOL DECK,Passed testing - returned to normal push-button operation,
LA FOLLETTE (ROBERT),La Follette (Robert) #6,"NEAR HIRSCH AND LAWLER, ON PATH",Continuous flow - To be assessed for repair/replacement/removal,
LA VILLITA,La Villita #1,"IN PLAYGROUND AREA, NORTH SIDE OF PARK",Passed testing - returned to normal push-button operation,
LA VILLITA,La Villita #2,"MIDDLE OF PARK, SOUTH OF 28TH STREET",Passed testing - returned to normal push-button operation,
LA VILLITA,La Villita #3,SOUTH END OF PARK BEHIND BASEBALL DIAMOND,Passed testing - returned to normal push-button operation,
LAKE SHORE,Lake Shore #1,"NORTHWEST CORNER, NORTH OF TENNIS COURTS, WEST OF BASEBALL DIAMOND",Passed testing - returned to normal push-button operation,
LAKE SHORE,Lake Shore #2,"SOUTHEAST CORNER, INSIDE TRACK",Passed testing - returned to normal push-button operation,
LAMB (HAROLD),Lamb (Harold) #1,EAST OF BASKETBALL COURT,Continuous flow - To be assessed for repair/replacement/removal,
LANE (GEORGE) BEACH,Lane (George) Beach #1,AT THORNDALE ENTRANCE,Passed testing - returned to normal push-button operation,
LANGDON (MARY MARGARET),Langdon (Mary Margaret) #1,AT ENTRANCE ON ALBION,Passed testing - returned to normal push-button operation,
LANGLEY,Langley #1,MIDDLE OF TRACK ON LANELY,Passed testing - returned to normal push-button operation,
LANGLEY,Langley #2,PLAYGROUND,Passed testing - returned to normal push-button operation,
LAWLER (MICHAEL),Lawler (Michael) #1,NEAR 63RD AND LEAMINGTON ENTRANCE,Continuous flow - To be assessed for repair/replacement/removal,
LAWLER (MICHAEL),Lawler (Michael) #2,PLAYGROUND,Passed testing - returned to normal push-button operation,
LAZARUS (EMMA),Lazarus (Emma) #1,AT ENTRANCE ON COLUMBIA,Continuous flow - To be assessed for repair/replacement/removal,
LE CLAIRE COURTS - HEARST COMM. CTR,Le Claire Courts - Hearst Comm. Ctr #1,NORTHEAST OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
LE CLAIRE COURTS - HEARST COMM. CTR,Le Claire Courts - Hearst Comm. Ctr #2,EAST END OF PARK NEAR WALKING PATH,Passed testing - returned to normal push-button operation,
LE CLAIRE COURTS - HEARST COMM. CTR,Le Claire Courts - Hearst Comm. Ctr #3,TENNIS COURT,Passed testing - returned to normal push-button operation,
LEE (JOHN),Lee (John) #1,NEAR ENTRANCE ON LAWNDALE,Passed testing - returned to normal push-button operation,
LEGION,Legion #1,"EAST OF RIVER, SOUTH OF PLAYLOT, AT THORNDALE ENTRANCE",Continuous flow - To be assessed for repair/replacement/removal,
LEGION,Legion #2,"WEST OF RIVER, AT ARDMORE ENTRANCE",Continuous flow - To be assessed for repair/replacement/removal,
LEGION,Legion #3,"EAST OF RIVER, SOUTH OF ARDMORE ENTRANCE",Off. To be assessed for repair/replacement/removal,
LEGION,Legion #4,"EAST OF RIVER, BETWEEN PLAYLOT AND HOLLYWOOD ENTRANCE",Continuous flow - To be assessed for repair/replacement/removal,
LEGION,Legion #5,"EAST OF RIVER, NORTH OF CATALPA ENTRANCE BY PLAYLOT",Continuous flow - To be assessed for repair/replacement/removal,
LEGION,Legion #6,"EAST OF RIVER, NORTH OF BALMORAL ENTRANCE",Continuous flow - To be assessed for repair/replacement/removal,
LEONE (SAM) BEACH,Leone (Sam) Beach #1,"ON TOUHY, SOUTH OF BEACH HOUSE",Passed testing - returned to normal push-button operation,
LERNER (LEO),Lerner (Leo) #1,WEST OF PLAYLOT ON PATH,Passed testing - returned to normal push-button operation,
LERNER (LEO),Lerner (Leo) #2,NORTH OF PLAYLOT,Passed testing - returned to normal push-button operation,
LERNER (LEO),Lerner (Leo) #3,BY TENNIS COURT - SOUTH,Passed testing - returned to normal push-button operation,
LERNER (LEO),Lerner (Leo) #4,WEST OF TENNIS COURT ON PATH,Passed testing - returned to normal push-button operation,
LEVIN (JOHN),Levin (John) #1,"CENTER OF PARK, WHERE PLAYGROUND PATH AND BASEBALL DIAMOND PATH CONVERGE",Passed testing - returned to normal push-button operation,
LIMAS (JULIANN HOPE),Limas (Juliann Hope) #1,SOUTH OF ENTRANCE,Continuous flow - To be assessed for repair/replacement/removal,
LINCOLN (ABRAHAM),Lincoln (Abraham) #1 ,"WEST OF LSD, HOLLYWOOD AND LSD PLAYGROUND",Passed testing - returned to normal push-button operation,
